period_date,year,quarter,year_quarter,mx_state,mx_municipality,remittances_musd
2017-07-01,2017,3,2017Q3,Guerrero,Apaxtla,0.856757
2017-07-01,2017,3,2017Q3,Oaxaca,Miahuatlan De Porfirio Diaz,16.556775
2017-07-01,2017,3,2017Q3,Oaxaca,San Blas Atempa,0.003472
2017-07-01,2017,3,2017Q3,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.007141
2017-07-01,2017,3,2017Q3,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2017-07-01,2017,3,2017Q3,Oaxaca,San Martin De Los Cansecos,0
2017-07-01,2017,3,2017Q3,Oaxaca,San Pedro Mixtepec - Distr. 22 -,13.401004
2017-07-01,2017,3,2017Q3,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.094072
2017-07-01,2017,3,2017Q3,Oaxaca,Santiago Chazumba,0.456112
2017-07-01,2017,3,2017Q3,Oaxaca,Villa Hidalgo,0.422028
2017-07-01,2017,3,2017Q3,Oaxaca,Zapotitlan Del Rio,0
2017-07-01,2017,3,2017Q3,San Luis Potosi,Ahualulco,2.573955
2017-10-01,2017,4,2017Q4,Chiapas,Cintalapa,2.43916
2017-10-01,2017,4,2017Q4,Chihuahua,Rosario,0
2017-10-01,2017,4,2017Q4,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,40.968698
2017-10-01,2017,4,2017Q4,Guerrero,Apaxtla,0.951212
2017-10-01,2017,4,2017Q4,Oaxaca,Miahuatlan De Porfirio Diaz,16.01812
2017-10-01,2017,4,2017Q4,Oaxaca,San Blas Atempa,1.31e-4
2017-10-01,2017,4,2017Q4,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.009237
2017-10-01,2017,4,2017Q4,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2017-10-01,2017,4,2017Q4,Oaxaca,San Martin De Los Cansecos,0
2017-10-01,2017,4,2017Q4,Oaxaca,San Pedro Mixtepec - Distr. 22 -,13.818768
2017-10-01,2017,4,2017Q4,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.081017
2017-10-01,2017,4,2017Q4,Oaxaca,Santiago Chazumba,0.446287
2017-10-01,2017,4,2017Q4,Oaxaca,Villa Hidalgo,0.408812
2017-10-01,2017,4,2017Q4,Oaxaca,Zapotitlan Del Rio,0
2017-10-01,2017,4,2017Q4,San Luis Potosi,Ahualulco,2.232096
2018-01-01,2018,1,2018Q1,Chiapas,Cintalapa,2.534611
2018-01-01,2018,1,2018Q1,Chihuahua,Rosario,0
2018-01-01,2018,1,2018Q1,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,33.904529
2018-01-01,2018,1,2018Q1,Guerrero,Apaxtla,0.967924
2018-01-01,2018,1,2018Q1,Oaxaca,Miahuatlan De Porfirio Diaz,14.565259
2018-01-01,2018,1,2018Q1,Oaxaca,San Blas Atempa,0.002217
2018-01-01,2018,1,2018Q1,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.009755
2018-01-01,2018,1,2018Q1,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2018-01-01,2018,1,2018Q1,Oaxaca,San Martin De Los Cansecos,0
2018-01-01,2018,1,2018Q1,Oaxaca,San Pedro Mixtepec - Distr. 22 -,13.797194
2018-01-01,2018,1,2018Q1,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.062751
2018-01-01,2018,1,2018Q1,Oaxaca,Santiago Chazumba,0.385968
2018-01-01,2018,1,2018Q1,Oaxaca,Villa Hidalgo,0.359466
2018-01-01,2018,1,2018Q1,Oaxaca,Zapotitlan Del Rio,0
2018-01-01,2018,1,2018Q1,San Luis Potosi,Ahualulco,2.331612
2018-04-01,2018,2,2018Q2,Chiapas,Cintalapa,2.839779
2018-04-01,2018,2,2018Q2,Chihuahua,Rosario,0
2018-04-01,2018,2,2018Q2,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,45.59515
2018-04-01,2018,2,2018Q2,Guerrero,Apaxtla,1.113604
